Epoch,Type,Group,Value
3,Loss,4,1.22678565979004
4,Loss,4,1.11979234218597
5,Loss,4,1.08647096157074
6,Loss,4,1.01251327991486
7,Loss,4,0.976751506328583
8,Loss,4,0.950040459632874
9,Loss,4,0.920735061168671
10,Loss,4,0.913538575172424
11,Loss,4,0.911900341510773
12,Loss,4,0.922029852867126
13,Loss,4,0.93633359670639
14,Loss,4,0.94736522436142
15,Loss,4,0.959420144557953
1,Acc,5,0.383479207754135
2,Acc,5,0.428884029388428
3,Acc,5,0.404266953468323
4,Acc,5,0.429978102445602
5,Acc,5,0.420678347349167
6,Acc,5,0.543763697147369
7,Acc,5,0.529540479183197
8,Acc,5,0.574945271015167
9,Acc,5,0.527352273464203
10,Acc,5,0.559080958366394
11,Acc,5,0.503282308578491
12,Acc,5,0.467177242040634
13,Acc,5,0.490153163671494
14,Acc,5,0.590262591838837
15,Acc,5,0.583698034286499
1,Loss,5,1.82100713253021
2,Loss,5,1.48935616016388
3,Loss,5,1.35693335533142
4,Loss,5,1.25643980503082
5,Loss,5,1.20000445842743
6,Loss,5,1.09039044380188
7,Loss,5,1.0871798992157
8,Loss,5,0.998778700828552
9,Loss,5,1.01925146579742
10,Loss,5,0.98381644487381
11,Loss,5,1.02640879154205
12,Loss,5,1.0684962272644
13,Loss,5,1.03091990947723
14,Loss,5,0.92552125453949
15,Loss,5,0.939020097255707
1,Acc,6,0.316752433776856
2,Acc,6,0.272727280855179
3,Acc,6,0.268724977970123
4,Acc,6,0.291595190763474
5,Acc,6,0.321326464414597
6,Acc,6,0.350485980510712
7,Acc,6,0.360777586698532
8,Acc,6,0.396226406097412
9,Acc,6,0.427101194858551
10,Acc,6,0.444253861904144
11,Acc,6,0.455117225646973
12,Acc,6,0.458547741174698
13,Acc,6,0.449399650096893
14,Acc,6,0.436249285936356
15,Acc,6,0.438536316156387
1,Loss,6,1.65369129180908
2,Loss,6,1.47248816490173
3,Loss,6,1.37098562717438
4,Loss,6,1.29075980186462
5,Loss,6,1.23635995388031
6,Loss,6,1.20561969280243
7,Loss,6,1.18951773643494
8,Loss,6,1.14904546737671
9,Loss,6,1.11422765254974
10,Loss,6,1.10329866409302
11,Loss,6,1.0931704044342
12,Loss,6,1.06514430046082
13,Loss,6,1.07881808280945
14,Loss,6,1.10251760482788
15,Loss,6,1.11530840396881
1,Acc,7,0.282007902860641
2,Acc,7,0.242526784539223
3,Acc,7,0.231246471405029
4,Acc,7,0.217146083712578
5,Acc,7,0.265087425708771
6,Acc,7,0.307388603687286
7,Acc,7,0.344613641500473
8,Acc,7,0.377890586853027
9,Acc,7,0.338973492383957
10,Acc,7,0.364354193210602
11,Acc,7,0.330513268709183
12,Acc,7,0.329949229955673
13,Acc,7,0.338973492383957
14,Acc,7,0.417935699224472
15,Acc,7,0.37450647354126
1,Loss,7,1.66832566261292
2,Loss,7,1.47520101070404
3,Loss,7,1.38380777835846
4,Loss,7,1.3526223897934
